source-value,target-value
247-153-598,153
993-608-757,608
113-860-034,860
449-122-191,122
002-500-200,500
938-242-504,242
562-950-358,950
977-386-462,386
140-726-583,726
142-178-290,178
568-181-515,181
197-485-507,485
693-049-588,049
424-069-886,069
075-497-069,497
400-334-692,334
118-980-214,980
498-808-434,808
960-659-771,659
308-722-292,722
548-835-065,835
817-925-247,925
206-805-793,805
539-636-358,636
882-587-473,587
426-712-861,712
986-722-311,722
275-536-998,536
911-186-562,186
593-065-126,065
457-622-959,622
560-951-766,951
252-029-036,029
886-911-726,911
487-726-198,726
912-827-430,827
698-815-340,815
964-134-953,134
060-919-361,919
232-253-254,253
941-102-117,102
623-599-749,599
700-322-036,322
566-086-726,086
428-629-927,629
658-877-878,877
320-984-742,984
830-941-991,941
038-300-876,300
720-330-583,330
158-894-947,894
234-686-715,686
058-272-455,272
671-778-064,778
785-713-099,713
872-513-190,513
888-594-038,594
244-655-094,655
332-395-493,395
994-443-794,443
329-545-000,545
981-424-843,424
546-399-239,399
612-419-942,419
014-270-177,270
312-846-053,846
380-281-597,281
336-611-100,611
251-903-028,903
110-170-771,170
019-430-596,430
300-140-756,140
963-875-745,875
198-857-684,857
732-196-946,196
568-759-670,759
342-145-742,145
475-505-007,505
009-878-919,878
881-865-867,865
049-413-248,413
455-776-949,776
308-916-545,916
099-684-216,684
575-296-621,296
919-545-701,545
107-652-845,652
840-503-234,503
176-090-894,090
757-454-374,454
684-711-883,711
331-728-008,728
469-610-118,610
918-304-840,304
085-421-340,421
943-037-297,037
386-994-906,994
416-390-647,390
256-899-439,899
594-741-346,741
