source-value,target-value
038-300-876,(038) 300-876
049-413-248,(049) 413-248
566-086-726,(566) 086-726
881-865-867,(881) 865-867
593-065-126,(593) 065-126
424-069-886,(424) 069-886
085-421-340,(085) 421-340
312-846-053,(312) 846-053
487-726-198,(487) 726-198
919-545-701,(919) 545-701
888-594-038,(888) 594-038
449-122-191,(449) 122-191
099-684-216,(099) 684-216
840-503-234,(840) 503-234
176-090-894,(176) 090-894
206-805-793,(206) 805-793
568-759-670,(568) 759-670
594-741-346,(594) 741-346
548-835-065,(548) 835-065
986-722-311,(986) 722-311
918-304-840,(918) 304-840
244-655-094,(244) 655-094
252-029-036,(252) 029-036
469-610-118,(469) 610-118
197-485-507,(197) 485-507
455-776-949,(455) 776-949
720-330-583,(720) 330-583
158-894-947,(158) 894-947
658-877-878,(658) 877-878
732-196-946,(732) 196-946
332-395-493,(332) 395-493
113-860-034,(113) 860-034
562-950-358,(562) 950-358
336-611-100,(336) 611-100
912-827-430,(912) 827-430
308-722-292,(308) 722-292
785-713-099,(785) 713-099
498-808-434,(498) 808-434
331-728-008,(331) 728-008
698-815-340,(698) 815-340
757-454-374,(757) 454-374
060-919-361,(060) 919-361
938-242-504,(938) 242-504
539-636-358,(539) 636-358
140-726-583,(140) 726-583
830-941-991,(830) 941-991
342-145-742,(342) 145-742
963-875-745,(963) 875-745
981-424-843,(981) 424-843
623-599-749,(623) 599-749
386-994-906,(386) 994-906
247-153-598,(247) 153-598
198-857-684,(198) 857-684
234-686-715,(234) 686-715
118-980-214,(118) 980-214
977-386-462,(977) 386-462
019-430-596,(019) 430-596
329-545-000,(329) 545-000
546-399-239,(546) 399-239
684-711-883,(684) 711-883
941-102-117,(941) 102-117
002-500-200,(002) 500-200
416-390-647,(416) 390-647
058-272-455,(058) 272-455
457-622-959,(457) 622-959
475-505-007,(475) 505-007
568-181-515,(568) 181-515
300-140-756,(300) 140-756
142-178-290,(142) 178-290
426-712-861,(426) 712-861
014-270-177,(014) 270-177
560-951-766,(560) 951-766
232-253-254,(232) 253-254
993-608-757,(993) 608-757
671-778-064,(671) 778-064
964-134-953,(964) 134-953
817-925-247,(817) 925-247
320-984-742,(320) 984-742
872-513-190,(872) 513-190
428-629-927,(428) 629-927
308-916-545,(308) 916-545
009-878-919,(009) 878-919
275-536-998,(275) 536-998
693-049-588,(693) 049-588
960-659-771,(960) 659-771
400-334-692,(400) 334-692
882-587-473,(882) 587-473
886-911-726,(886) 911-726
612-419-942,(612) 419-942
075-497-069,(075) 497-069
380-281-597,(380) 281-597
575-296-621,(575) 296-621
994-443-794,(994) 443-794
700-322-036,(700) 322-036
110-170-771,(110) 170-771
911-186-562,(911) 186-562
256-899-439,(256) 899-439
107-652-845,(107) 652-845
251-903-028,(251) 903-028
943-037-297,(943) 037-297
