source-value,target-value
244-655-094,094
785-713-099,099
110-170-771,771
158-894-947,947
918-304-840,840
912-827-430,430
977-386-462,462
275-536-998,998
732-196-946,946
830-941-991,991
993-608-757,757
981-424-843,843
449-122-191,191
252-029-036,036
455-776-949,949
075-497-069,069
886-911-726,726
623-599-749,749
562-950-358,358
475-505-007,007
568-759-670,670
049-413-248,248
469-610-118,118
911-186-562,562
312-846-053,053
594-741-346,346
380-281-597,597
232-253-254,254
882-587-473,473
386-994-906,906
698-815-340,340
487-726-198,198
938-242-504,504
498-808-434,434
256-899-439,439
085-421-340,340
308-916-545,545
539-636-358,358
251-903-028,028
548-835-065,065
881-865-867,867
234-686-715,715
720-330-583,583
757-454-374,374
612-419-942,942
941-102-117,117
142-178-290,290
176-090-894,894
113-860-034,034
960-659-771,771
300-140-756,756
943-037-297,297
198-857-684,684
002-500-200,200
919-545-701,701
700-322-036,036
019-430-596,596
424-069-886,886
320-984-742,742
428-629-927,927
060-919-361,361
593-065-126,126
964-134-953,953
329-545-000,000
206-805-793,793
336-611-100,100
575-296-621,621
009-878-919,919
568-181-515,515
342-145-742,742
457-622-959,959
099-684-216,216
817-925-247,247
546-399-239,239
107-652-845,845
872-513-190,190
332-395-493,493
400-334-692,692
566-086-726,726
331-728-008,008
308-722-292,292
658-877-878,878
671-778-064,064
994-443-794,794
140-726-583,583
416-390-647,647
118-980-214,214
426-712-861,861
986-722-311,311
888-594-038,038
058-272-455,455
693-049-588,588
247-153-598,598
560-951-766,766
197-485-507,507
963-875-745,745
684-711-883,883
840-503-234,234
014-270-177,177
038-300-876,876
