source-value,target-value
+106 769-858-438,438
+151 862-946-541,541
+56 242-901-234,234
+2 604-746-137,137
+80 066-433-096,096
+47 414-369-343,343
+163 039-436-166,166
+138 117-484-671,671
+14 673-759-017,017
+169 822-542-726,726
+20 541-401-396,396
+21 679-740-834,834
+138 885-618-512,512
+42 634-077-089,089
+174 594-539-946,946
+35 082-845-261,261
+161 233-981-513,513
+176 767-782-369,369
+98 717-997-323,323
+47 401-100-231,231
+64 061-601-398,398
+64 751-365-934,934
+46 005-119-176,176
+45 124-771-454,454
+43 592-938-846,846
+94 856-734-046,046
+189 831-591-877,877
+65 970-575-488,488
+155 927-275-860,860
+194 278-716-950,950
+169 060-204-504,504
+95 620-820-945,945
+23 448-213-807,807
+82 685-122-086,086
+13 258-276-941,941
+158 344-541-946,946
+183 225-960-024,024
+62 647-787-775,775
+83 973-757-831,831
+188 280-087-526,526
+58 191-982-491,491
+147 864-005-968,968
+198 557-666-779,779
+138 808-083-074,074
+196 728-585-376,376
+50 268-571-336,336
+33 547-051-264,264
+10 538-347-401,401
+33 117-430-125,125
+185 394-622-272,272
+199 936-162-415,415
+25 998-898-180,180
+108 150-380-705,705
+163 905-707-740,740
+141 018-132-973,973
+2 455-126-377,377
+72 001-050-856,856
+105 048-919-483,483
+158 674-736-891,891
+163 546-119-476,476
+29 773-545-520,520
+140 794-289-551,551
+43 730-685-847,847
+43 249-097-743,743
+144 170-592-272,272
+197 700-858-976,976
+52 836-582-035,035
+81 849-629-290,290
+82 675-366-472,472
+167 405-461-331,331
+143 726-462-368,368
+104 158-671-355,355
+176 938-056-084,084
+18 209-851-997,997
+195 488-831-768,768
+5 528-317-854,854
+94 462-008-482,482
+130 517-953-149,149
+180 029-457-654,654
+75 227-250-652,652
+115 101-728-328,328
+42 643-245-738,738
+95 310-537-401,401
+9 507-092-535,535
+172 027-507-632,632
+118 165-041-038,038
+161 086-020-168,168
+7 023-296-647,647
+6 775-969-238,238
+132 313-075-754,754
+158 684-878-743,743
+50 012-148-873,873
+45 095-746-635,635
+60 971-986-103,103
+68 890-680-027,027
+40 122-224-247,247
+18 051-287-382,382
+129 425-765-844,844
+130 590-757-665,665
+86 468-718-108,108
